8;;;20
15;;;20
20;;;20
8;;;28
8;;;40
9;;;31
9;;;30
17;;;36
8;;;40
17;20;;30
17;;;26
20;;;19
7;;;29
6;;;29
20;;;20
5;;;37
8;;;30
7;;;30
8;;;40
19;20;;30
18;;;30
8;;;30
8;;;30
8;;;61
20;;;56
8;;;59
9;;;38
20;;;40
7;;;42
8;20;;57
8;;;55
9;;;52
17;;;49
28;;;43
19;;;23
8;;;37
8;;;31
20;;;40
9;;;47
9;28;;48
9;;;36
17;;;30
8;;;39
30;;;43
40;;;54
20;;;63
8;;;59
6;;;64
17;;;62
18;40;;42
8;;;55
10;;;65
20;;;59
20;;;47
19;;;42
10;;;71
8;;;49
20;;;60
19;;;66
31;31;;62
20;;;
19;;;
17;;;
19;;;
18;;;
20;;;
17;;;
30;;;
30;;;
16;30;;
9;;;
8;;;
36;;;
8;;;
6;;;
8;;;
6;;;
9;;;
6;;;
20;36;;
9;;;
20;;;
9;;;
7;;;
40;;;
5;;;
5;;;
8;;;
8;;;
19;40;;
10;;;
9;;;
30;;;
17;;;
9;;;
8;;;
6;;;
8;;;
30;;;
9;30;;
8;;;
9;;;
9;;;
19;;;
19;;;
20;;;
19;;;
7;;;
26;;;
20;26;;
9;;;
8;;;
17;;;
9;;;
9;;;
8;;;
19;;;
5;;;
9;;;
5;19;;
4;;;
17;;;
7;;;
29;;;
9;;;
14;;;
20;;;
6;;;
20;;;
17;29;;
20;;;
28;;;
20;;;
9;;;
19;;;
9;;;
8;;;
20;;;
9;;;
29;29;;
6;;;
9;;;
5;;;
9;;;
20;;;
19;;;
5;;;
19;;;
20;;;
9;20;27,86666667;
37;;;
9;;;
19;;;
20;;;
9;;;
20;;;
19;;;
17;;;
20;;;
20;37;;
5;;;
18;;;
20;;;
5;;;
16;;;
8;;;
20;;;
30;;;
20;;;
20;30;;
17;;;
5;;;
30;;;
16;;;
8;;;
9;;;
20;;;
19;;;
9;;;
20;30;;
20;;;
40;;;
27;;;
20;;;
8;;;
20;;;
5;;;
20;;;
20;;;
16;40;;
20;;;
30;;;
19;;;
20;;;
19;;;
20;;;
20;;;
17;;;
9;;;
20;30;;
17;;;
19;;;
20;;;
17;;;
7;;;
30;;;
30;;;
30;;;
17;;;
9;30;;
17;;;
18;;;
19;;;
20;;;
20;;;
18;;;
30;;;
19;;;
17;;;
20;30;;
8;;;
20;;;
9;;;
28;;;
9;;;
19;;;
30;;;
20;;;
20;;;
9;30;;
20;;;
19;;;
47;;;
30;;;
19;;;
31;;;
19;;;
19;;;
23;;;
61;61;;
9;;;
16;;;
19;;;
18;;;
20;;;
19;;;
43;;;
56;;;
20;;;
6;56;;
10;;;
59;;;
37;;;
10;;;
43;;;
18;;;
47;;;
14;;;
21;;;
5;59;;
18;;;
5;;;
4;;;
4;;;
5;;;
38;;;
25;;;
32;;;
7;;;
30;38;;
7;;;
27;;;
8;;;
40;;;
5;;;
6;;;
6;;;
5;;;
4;;;
5;40;;
5;;;
6;;;
5;;;
17;;;
9;;;
6;;;
8;;;
34;;;
8;;;
42;42;;
20;;;
17;;;
35;;;
57;;;
34;;;
7;;;
8;;;
8;;;
42;;;
7;57;40,66666667;
30;;;
7;;;
8;;;
27;;;
7;;;
7;;;
50;;;
18;;;
9;;;
55;55;;
8;;;
52;;;
4;;;
4;;;
5;;;
4;;;
5;;;
28;;;
8;;;
8;52;;
9;;;
8;;;
6;;;
6;;;
8;;;
25;;;
49;;;
4;;;
9;;;
8;49;;
8;;;
9;;;
8;;;
43;;;
8;;;
20;;;
8;;;
8;;;
7;;;
5;43;;
10;;;
23;;;
9;;;
9;;;
8;;;
19;;;
8;;;
8;;;
8;;;
8;23;;
8;;;
9;;;
37;;;
10;;;
9;;;
9;;;
26;;;
7;;;
8;;;
9;37;;
31;;;
19;;;
8;;;
8;;;
8;;;
7;;;
8;;;
9;;;
19;;;
7;31;;
38;;;
9;;;
5;;;
6;;;
9;;;
9;;;
30;;;
26;;;
40;;;
8;40;;
9;;;
7;;;
30;;;
8;;;
47;;;
8;;;
8;;;
19;;;
32;;;
47;47;;
25;;;
5;;;
6;;;
15;;;
9;;;
8;;;
8;;;
4;;;
48;;;
8;48;;
7;;;
9;;;
9;;;
9;;;
8;;;
5;;;
8;;;
8;;;
9;;;
36;36;;
9;;;
9;;;
30;;;
14;;;
8;;;
8;;;
10;;;
8;;;
30;;;
25;30;;
8;;;
34;;;
5;;;
5;;;
9;;;
39;;;
8;;;
6;;;
37;;;
8;39;;
8;;;
17;;;
14;;;
7;;;
18;;;
4;;;
16;;;
43;;;
4;;;
6;43;;
8;;;
7;;;
54;;;
26;;;
9;;;
10;;;
53;;;
5;;;
16;;;
20;54;41,8;
37;;;
28;;;
45;;;
9;;;
10;;;
63;;;
19;;;
19;;;
14;;;
21;63;;
7;;;
9;;;
17;;;
6;;;
4;;;
4;;;
40;;;
30;;;
38;;;
59;59;;
26;;;
50;;;
29;;;
58;;;
20;;;
42;;;
19;;;
64;;;
45;;;
50;64;;
45;;;
22;;;
30;;;
20;;;
45;;;
22;;;
36;;;
7;;;
62;;;
30;62;;
42;;;
36;;;
19;;;
8;;;
8;;;
34;;;
17;;;
9;;;
19;;;
32;42;;
51;;;
43;;;
55;;;
6;;;
27;;;
20;;;
44;;;
53;;;
19;;;
21;55;;
65;;;
51;;;
20;;;
33;;;
43;;;
5;;;
53;;;
32;;;
54;;;
24;65;;
8;;;
15;;;
15;;;
20;;;
5;;;
25;;;
4;;;
59;;;
28;;;
19;59;;
4;;;
5;;;
16;;;
4;;;
24;;;
6;;;
28;;;
47;;;
5;;;
5;47;;
17;;;
4;;;
29;;;
14;;;
8;;;
24;;;
4;;;
8;;;
42;;;
39;42;;
53;;;
9;;;
9;;;
8;;;
6;;;
16;;;
7;;;
4;;;
57;;;
71;71;;
4;;;
22;;;
21;;;
8;;;
47;;;
30;;;
49;;;
7;;;
8;;;
7;49;;
20;;;
16;;;
60;;;
49;;;
10;;;
31;;;
9;;;
9;;;
36;;;
19;60;;
60;;;
28;;;
17;;;
66;;;
36;;;
41;;;
37;;;
20;;;
20;;;
9;66;;
41;;;
53;;;
20;;;
9;;;
37;;;
62;;;
41;;;
60;;;
50;;;
38;62;57,73333333;
